pei,date_nc,nc_notice_type,nc_violation_1,nc_violation_2,nc_violation_3
E952F541BCC64EA6910F0DF7EE8BE33E,2014-01-09T00:00:00Z,NFL - ST (Shelter Termination),NA,NA,NA
23696B02B75144BFA13E5D2703F14B91,2014-02-13T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
A87844609FE44463BAB6AF0F1AC0AC3F,2014-04-27T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
815720BBA696408284E07798CE6A672A,2014-06-30T00:00:00Z,NFL - ST (Shelter Termination),NA,NA,NA
7004403B1D744972990909268515A7A6,2014-07-27T00:00:00Z,TES - WN (Warning / No longer used),Health & Safety,NA,NA
345B043494824DEF9C8DFD8A06BE3DBB,2014-07-31T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
E127FAA98A6B471D849AA29913111A18,2014-08-02T00:00:00Z,NFL - ST (Shelter Termination),NA,NA,NA
91991E779B4542A5BE7455D3EE120305,2014-08-13T00:00:00Z,TES - WN (Warning / No longer used),Rehousing Plan - Not Participating,NA,NA
4299C3E8082F433FB48FC8255275EC78,2014-08-28T00:00:00Z,TES - WN (Warning / No longer used),Rehousing Plan - Not Participating,NA,NA
D138961FC19E44E1A24780F97588ED20,2014-09-04T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
AD2BE37E59AC49719FF4E7A7101F0593,2014-09-11T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
CC5ACA64EA8B49F7BCC528EECF567149,2014-09-24T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
D4F667A370354B72B7B5B20728210099,2014-09-30T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
375A06D9307D48F2824FE5D8ACA2D57E,2014-10-02T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
13B8A1838F1D4E3C96CCB41AE6317721,2014-10-03T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
6626D7E0237949FFBFEAC94E98E0B135,2014-10-05T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
226A5D5FDDAB4CD29DDF1B4FD86E63DD,2014-10-10T00:00:00Z,NFL - ST (Shelter Termination),Health & Safety,NA,NA
CC1E53C94F934D26BDCF2CF8AA0383EC,2014-10-14T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
D1E64EDE33B543288BCEF7C0C2D0C702,2014-10-14T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
40EE3A4733B940C3A36FBDE9379E3127,2014-10-24T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
5CFDECD9DB3C4E2D8E9C55CBAA8C846E,2014-10-30T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
34AB7E57985D4171A8B3718A7A91B41E,2014-10-31T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
873BED0C80894603B3783DF7356A472D,2014-10-31T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
3C45501F950540169734C72E778DFC82,2014-11-03T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
7238AFEAA1C944AF8893A0022E40949B,2014-11-06T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
AD73AF07DA844A38B42984318279711F,2014-11-07T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
7DA2BFA9D76642828548A6D96793CF7D,2014-11-11T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
3EE51B44124A4B26991ECB741AC57B0B,2014-11-16T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
47E27F28EF0E41F584F4F0486CE13DA5,2014-11-18T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
D724F7BF043343959F13B37399E795E4,2014-11-22T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
1491ABEEF41740098E3BE1DE4355EE7A,2014-11-25T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
1491ABEEF41740098E3BE1DE4355EE7A,2014-11-25T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
3AB2099CDA46460BBDD862119EB8323E,2014-11-25T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
42CDA52F68C042039AEB89C1144E184F,2014-11-28T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
938CD3B6BA8341FB8AD1F5D0285E1D04,2014-11-28T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
84AD79F1F493479FB10B1F06A0DB7E33,2014-11-30T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
64F88913AC414620A5858AEA1290CA5E,2014-12-02T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
8210BDC88F6F41E9889C13C13A96742C,2014-12-02T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
2446973E33704376B5184CA2E03051D3,2014-12-08T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
CA8EE7B4A0644CCFB21EF6DAAF95EEB0,2014-12-09T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
DB2C060EA7D6476EA690311828B98E79,2014-12-09T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
F38FE61038644A669E2056D9010F34C1,2014-12-09T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
0C167FC6DDA741868F0B5ADDC687A373,2014-12-10T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
1A4D0706D27341E481FFE73086AFD8D4,2014-12-11T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
3475040C06D44445B5CC65F7FF9EDE2E,2014-12-11T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
5AC4BEBC7D7546388F1EE8216F311EFA,2014-12-12T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
A75E0E3D890446C59E35E30B69055CEC,2014-12-12T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
BDE35940374C4C978EB2AF01830AEFC8,2014-12-14T00:00:00Z,NFL - 9 - T (Termination / Eligibility),NA,NA,NA
0910155F3FE44B618158FE86A345872C,2014-12-16T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
427EEB9280AD4C029905121970253E7B,2014-12-16T00:00:00Z,TES - WN (Warning / No longer used),Health & Safety,NA,NA
203AD65AA3404E54A661D36433B11216,2014-12-23T00:00:00Z,TES - WN (Warning / No longer used),NA,NA,NA
5F774B0335344D339F8F359F9B8EB861,2014-12-28T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
0FAC6E013D56455A80617B368C94070A,2014-12-30T00:00:00Z,TES - WN (Warning / No longer used),Rule Violation,NA,NA
5940FA4541AF4106AA532BF4D9D87455,2014-12-30T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
41D09B6C81FD4E0C8D818ED6A3E7D621,2015-01-02T00:00:00Z,TES - NN (Temporary Emergency Shelter - Notice of Non-Compliance),NA,NA,NA
49EFEE715CFB4077B7266C2296DBFBE2,2015-01-02T00:00:00Z,TES - NN (Temporary Emergency Shelter - Notice of Non-Compliance),NA,NA,NA
510AA4DC14004601895181A52B289CB6,2015-01-02T00:00:00Z,TES - NN (Temporary Emergency Shelter - Notice of Non-Compliance),NA,NA,NA
F311A81145B44DAFBFFF3C4CEC8D8558,2015-01-02T00:00:00Z,TES - NN (Temporary Emergency Shelter - Notice of Non-Compliance),NA,NA,NA
5E96BFA1F931477495C474FCE1C30F04,2015-01-03T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
EF253F736D1B41FAB66C8816D6FBBB69,2015-01-03T00:00:00Z,NFL - ST CA (Shelter Termination / Criminal Activity),NA,NA,NA
CA8EE7B4A0644CCFB21EF6DAAF95EEB0,2015-01-04T00:00:00Z,TES - NN (Temporary Emergency Shelter - Notice of Non-Compliance),NA,NA,NA
